"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","FOOD","AGRWTH","A","2018",0.6703755,
"AUS","CPI","FOOD","AGRWTH","A","2019",4.482894,
"AUS","CPI","FOOD","AGRWTH","A","2020",9.320118,
"AUS","CPI","FOOD","AGRWTH","A","2021",7.909739,
"AUS","CPI","FOOD","AGRWTH","A","2022",8.1667,
"AUS","CPI","TOT","AGRWTH","A","2018",1.911401,
"AUS","CPI","TOT","AGRWTH","A","2019",1.610768,
"AUS","CPI","TOT","AGRWTH","A","2020",0.8469055,
"AUS","CPI","TOT","AGRWTH","A","2021",2.86391,
"AUS","CPI","TOT","AGRWTH","A","2022",6.594097,
"AUT","CPI","FOOD","AGRWTH","A","2018",1.519315,
"AUT","CPI","FOOD","AGRWTH","A","2019",1.018946,
"AUT","CPI","FOOD","AGRWTH","A","2020",2.331635,
"AUT","CPI","FOOD","AGRWTH","A","2021",0.783268,
"AUT","CPI","FOOD","AGRWTH","A","2022",10.74824,
"AUT","CPI","TOT","AGRWTH","A","2018",1.998382,
"AUT","CPI","TOT","AGRWTH","A","2019",1.530896,
"AUT","CPI","TOT","AGRWTH","A","2020",1.381909,
"AUT","CPI","TOT","AGRWTH","A","2021",2.766667,
"AUT","CPI","TOT","AGRWTH","A","2022",8.54687,
"BEL","CPI","FOOD","AGRWTH","A","2018",2.159577,
"BEL","CPI","FOOD","AGRWTH","A","2019",0.7736732,
"BEL","CPI","FOOD","AGRWTH","A","2020",2.881715,
"BEL","CPI","FOOD","AGRWTH","A","2021",-0.3942201,
"BEL","CPI","FOOD","AGRWTH","A","2022",8.794951,
"BEL","CPI","TOT","AGRWTH","A","2018",2.053165,
"BEL","CPI","TOT","AGRWTH","A","2019",1.43682,
"BEL","CPI","TOT","AGRWTH","A","2020",0.7407918,
"BEL","CPI","TOT","AGRWTH","A","2021",2.440248,
"BEL","CPI","TOT","AGRWTH","A","2022",9.597511,
"CAN","CPI","FOOD","AGRWTH","A","2018",0.8086413,
"CAN","CPI","FOOD","AGRWTH","A","2019",3.67703,
"CAN","CPI","FOOD","AGRWTH","A","2020",2.400181,
"CAN","CPI","FOOD","AGRWTH","A","2021",2.195014,
"CAN","CPI","FOOD","AGRWTH","A","2022",9.762547,
"CAN","CPI","TOT","AGRWTH","A","2018",2.268226,
"CAN","CPI","TOT","AGRWTH","A","2019",1.949269,
"CAN","CPI","TOT","AGRWTH","A","2020",0.7169997,
"CAN","CPI","TOT","AGRWTH","A","2021",3.395193,
"CAN","CPI","TOT","AGRWTH","A","2022",6.802801,
"CZE","CPI","FOOD","AGRWTH","A","2018",1.31179,
"CZE","CPI","FOOD","AGRWTH","A","2019",2.818569,
"CZE","CPI","FOOD","AGRWTH","A","2020",4.538125,
"CZE","CPI","FOOD","AGRWTH","A","2021",0.8006464,
"CZE","CPI","FOOD","AGRWTH","A","2022",16.6946,
"CZE","CPI","TOT","AGRWTH","A","2018",2.149495,
"CZE","CPI","TOT","AGRWTH","A","2019",2.847876,
"CZE","CPI","TOT","AGRWTH","A","2020",3.161295,
"CZE","CPI","TOT","AGRWTH","A","2021",3.839845,
"CZE","CPI","TOT","AGRWTH","A","2022",15.10017,
"DNK","CPI","FOOD","AGRWTH","A","2018",0.04048583,
"DNK","CPI","FOOD","AGRWTH","A","2019",1.392149,
"DNK","CPI","FOOD","AGRWTH","A","2020",0.6386206,
"DNK","CPI","FOOD","AGRWTH","A","2021",0.5790434,
"DNK","CPI","FOOD","AGRWTH","A","2022",11.5142,
"DNK","CPI","TOT","AGRWTH","A","2018",0.8136095,
"DNK","CPI","TOT","AGRWTH","A","2019",0.7581316,
"DNK","CPI","TOT","AGRWTH","A","2020",0.420712,
"DNK","CPI","TOT","AGRWTH","A","2021",1.853045,
"DNK","CPI","TOT","AGRWTH","A","2022",7.696567,
"FIN","CPI","FOOD","AGRWTH","A","2018",1.93134,
"FIN","CPI","FOOD","AGRWTH","A","2019",1.211969,
"FIN","CPI","FOOD","AGRWTH","A","2020",1.66011,
