,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value
146040,CAN,CPI,ENRG,IDX2015,2020,98.50014
146042,CAN,CPI,ENRG,IDX2015,2022,143.4681
146102,CAN,CPI,FOOD,IDX2015,2020,107.0176
146104,CAN,CPI,FOOD,IDX2015,2022,120.0437
146211,CAN,CPI,TOT,IDX2015,2020,108.2104
146213,CAN,CPI,TOT,IDX2015,2022,119.4957
146273,CAN,CPI,TOT_FOODENRG,IDX2015,2020,109.2199
146275,CAN,CPI,TOT_FOODENRG,IDX2015,2022,117.5195
149306,NLD,CPI,ENRG,IDX2015,2020,103.6983
149308,NLD,CPI,ENRG,IDX2015,2022,207.4067
149368,NLD,CPI,FOOD,IDX2015,2020,110.7425
149370,NLD,CPI,FOOD,IDX2015,2022,122.3858
149430,NLD,CPI,TOT,IDX2015,2020,107.51
149432,NLD,CPI,TOT,IDX2015,2022,121.4267
149492,NLD,CPI,TOT_FOODENRG,IDX2015,2020,107.4245
149494,NLD,CPI,TOT_FOODENRG,IDX2015,2022,114.1367
149560,NZL,CPI,ENRG,IDX2015,2020,105.9722
149562,NZL,CPI,ENRG,IDX2015,2022,130.4869
149623,NZL,CPI,FOOD,IDX2015,2020,105.6642
149625,NZL,CPI,FOOD,IDX2015,2022,116.8336
149731,NZL,CPI,TOT,IDX2015,2020,107.6488
149733,NZL,CPI,TOT,IDX2015,2022,119.9165
149785,NZL,CPI,TOT_FOODENRG,IDX2015,2020,108.193
149787,NZL,CPI,TOT_FOODENRG,IDX2015,2022,118.9335
150178,PRT,CPI,ENRG,IDX2015,2020,99.23725
150180,PRT,CPI,ENRG,IDX2015,2022,131.6707
150253,PRT,CPI,FOOD,IDX2015,2020,105.2581
150255,PRT,CPI,FOOD,IDX2015,2022,119.8073
150321,PRT,CPI,TOT,IDX2015,2020,103.3332
150323,PRT,CPI,TOT,IDX2015,2022,112.8373
150374,PRT,CPI,TOT_FOODENRG,IDX2015,2020,102.9757
150376,PRT,CPI,TOT_FOODENRG,IDX2015,2022,109.5768
151031,CHE,CPI,ENRG,IDX2015,2020,99.48206
151033,CHE,CPI,ENRG,IDX2015,2022,132.2206
151099,CHE,CPI,FOOD,IDX2015,2020,102.2884
151101,CHE,CPI,FOOD,IDX2015,2022,102.3309
151167,CHE,CPI,TOT,IDX2015,2020,100.6647
151169,CHE,CPI,TOT,IDX2015,2022,104.1208
151235,CHE,CPI,TOT_FOODENRG,IDX2015,2020,100.5048
151237,CHE,CPI,TOT_FOODENRG,IDX2015,2022,102.5945
152031,CHL,CPI,ENRG,IDX2015,2020,115.6478
152033,CHL,CPI,ENRG,IDX2015,2022,152.4467
152055,CHL,CPI,FOOD,IDX2015,2020,119.4881
152057,CHL,CPI,FOOD,IDX2015,2022,148.2669
152108,CHL,CPI,TOT,IDX2015,2020,114.8052
152110,CHL,CPI,TOT,IDX2015,2022,133.9722
152132,CHL,CPI,TOT_FOODENRG,IDX2015,2020,113.4455
152134,CHL,CPI,TOT_FOODENRG,IDX2015,2022,128.3234
152162,CHN,CPI,FOOD,IDX2015,2020,122.3378
152164,CHN,CPI,FOOD,IDX2015,2022,120.1576
152192,CHN,CPI,TOT,IDX2015,2020,111.475
152194,CHN,CPI,TOT,IDX2015,2022,114.7902
152622,IND,CPI,TOT,IDX2015,2020,128.1744
152624,IND,CPI,TOT,IDX2015,2022,142.3749
153187,SAU,CPI,FOOD,IDX2015,2020,115.9578
153189,SAU,CPI,FOOD,IDX2015,2022,126.7541
153215,SAU,CPI,TOT,IDX2015,2020,105.0286
153217,SAU,CPI,TOT,IDX2015,2022,110.9241
153356,ZAF,CPI,ENRG,IDX2015,2020,129.9483
153358,ZAF,CPI,ENRG,IDX2015,2022,183.5963
153409,ZAF,CPI,FOOD,IDX2015,2020,132.9934
153411,ZAF,CPI,FOOD,IDX2015,2022,154.2052
153475,ZAF,CPI,TOT,IDX2015,2020,125.903
153477,ZAF,CPI,TOT,IDX2015,2022,140.9812
153496,ZAF,CPI,TOT_FOODENRG,IDX2015,2020,123.6836
153498,ZAF,CPI,TOT_FOODENRG,IDX2015,2022,133.3531
