,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value
146211,CAN,CPI,TOT,IDX2015,2020,108.2104
146213,CAN,CPI,TOT,IDX2015,2022,119.4957
149430,NLD,CPI,TOT,IDX2015,2020,107.51
149432,NLD,CPI,TOT,IDX2015,2022,121.4267
149731,NZL,CPI,TOT,IDX2015,2020,107.6488
149733,NZL,CPI,TOT,IDX2015,2022,119.9165
150321,PRT,CPI,TOT,IDX2015,2020,103.3332
150323,PRT,CPI,TOT,IDX2015,2022,112.8373
151167,CHE,CPI,TOT,IDX2015,2020,100.6647
151169,CHE,CPI,TOT,IDX2015,2022,104.1208
152108,CHL,CPI,TOT,IDX2015,2020,114.8052
152110,CHL,CPI,TOT,IDX2015,2022,133.9722
152192,CHN,CPI,TOT,IDX2015,2020,111.475
152194,CHN,CPI,TOT,IDX2015,2022,114.7902
152622,IND,CPI,TOT,IDX2015,2020,128.1744
152624,IND,CPI,TOT,IDX2015,2022,142.3749
153215,SAU,CPI,TOT,IDX2015,2020,105.0286
153217,SAU,CPI,TOT,IDX2015,2022,110.9241
153475,ZAF,CPI,TOT,IDX2015,2020,125.903
153477,ZAF,CPI,TOT,IDX2015,2022,140.9812
